Seconds,Rpi3 - Python3.9,Rpi3 - Python3.12,Rpi3 - Python3.13,Rpi4 - Python3.9,Rpi4 - Python3.12,Rpi4 - Python3.13
28.60,0.5269,0.5237,0.5253,0.4044,0.4104,0.4011
28.70,0.5273,0.5241,0.5225,0.4068,0.4132,0.4011
28.80,0.5240,0.5250,0.5228,0.4072,0.4103,0.4014
28.90,0.5217,0.5244,0.5243,0.4063,0.4088,0.4005
29.00,0.5218,0.5251,0.5208,0.4051,0.4109,0.3994
29.10,0.5224,0.5253,0.5317,0.4052,0.4097,0.4046
29.20,0.5216,0.5252,0.5218,0.4049,0.4031,0.4103
29.30,0.5221,0.5239,0.5207,0.4056,0.4211,0.4182
29.40,0.5218,0.5227,0.5335,0.4072,0.4205,0.4335
29.50,0.5219,0.5226,0.5213,0.4078,0.4205,0.4802
29.60,0.5214,0.5236,0.5236,0.4291,0.5014,0.4192
29.70,0.5215,0.5291,0.5305,0.4907,0.4112,0.4156
29.80,0.5218,0.5241,0.5208,0.4209,0.4227,0.4401
29.90,0.5216,0.5233,0.5281,0.457,0.4117,0.4056
30.00,0.5201,0.5237,0.5291,0.4507,0.4109,0.4297
30.10,0.5264,0.5249,0.5297,0.4069,0.4118,0.4289
30.20,0.5287,0.5244,0.5293,0.4063,0.4104,0.4011
30.30,0.5296,0.5246,0.5292,0.4069,0.4102,0.411
30.40,0.5258,0.5243,0.525,0.4063,0.4121,0.412
30.50,0.5274,0.5242,0.5263,0.4063,0.4111,0.4125
30.60,0.5270,0.5241,0.525,0.4105,0.4116,0.4117
30.70,0.5304,0.5235,0.5262,0.4058,0.412,0.4123
30.80,0.5275,0.5236,0.5238,0.4054,0.4123,0.4145
30.90,0.5238,0.5243,0.5252,0.4066,0.4097,0.4129
31.00,0.5235,0.5266,0.5251,0.4069,0.4111,0.4121
31.10,0.5230,0.5244,0.5254,0.4073,0.4067,0.4122
31.20,0.5218,0.5262,0.5255,0.4053,0.4055,0.4045
31.30,0.5236,0.5263,0.5254,0.4044,0.4189,0.4028
31.40,0.5231,0.5259,0.5256,0.4042,0.4013,0.4017
31.50,0.5232,0.5264,0.53,0.4043,0.4009,0.4005
31.60,0.5233,0.5276,0.5286,0.4054,0.4027,0.4017
31.70,0.5237,0.5274,0.5266,0.4049,0.4036,0.4012
31.80,0.5226,0.5275,0.5382,0.4037,0.4017,0.3995
31.90,0.5243,0.5269,0.5281,0.4047,0.4039,0.4012
32.00,0.5239,0.5258,0.5293,0.405,0.4084,0.4087
32.10,0.5228,0.5248,0.5386,0.4053,0.4109,0.4107
32.20,0.5181,0.5245,0.5263,0.4057,0.4142,0.4118
32.30,0.5216,0.5254,0.5296,0.4074,0.4112,0.4135
32.40,0.5254,0.5249,0.5339,0.4076,0.4154,0.413
32.50,0.5236,0.5239,0.526,0.408,0.4323,0.4123
32.60,0.5245,0.5260,0.5341,0.4069,0.431,0.4115
32.70,0.5240,0.5248,0.5339,0.4053,0.411,0.4049
32.80,0.5270,0.5245,0.5345,0.4053,0.4332,0.426
32.90,0.5250,0.5250,0.5345,0.4054,0.44,0.4534
33.00,0.5234,0.5227,0.533,0.4387,0.4886,0.4035
33.10,0.5257,0.5232,0.5307,0.4798,0.4059,0.4176
33.20,0.5259,0.5254,0.5317,0.417,0.4219,0.4447
33.30,0.5253,0.5249,0.5346,0.4663,0.4014,0.4017
33.40,0.5250,0.5253,0.531,0.4349,0.4019,0.4282
33.50,0.5257,0.5252,0.5295,0.4044,0.401,0.4383
33.60,0.5253,0.5247,0.5297,0.4031,0.4032,0.413
33.70,0.5261,0.5234,0.5303,0.4034,0.4034,0.4286
33.80,0.5263,0.5241,0.5317,0.4042,0.4016,0.4189
33.90,0.5232,0.5250,0.5312,0.4043,0.4051,0.413
34.00,0.5243,0.5248,0.5307,0.4049,0.4097,0.4069
34.10,0.5238,0.5253,0.5283,0.414,0.4105,0.4029
34.20,0.5247,0.5245,0.5287,0.4061,0.4111,0.4029
34.30,0.5255,0.5241,0.5269,0.4037,0.4113,0.4008
34.40,0.5233,0.5218,0.5246,0.4042,0.4192,0.4014
34.50,0.5252,0.5217,0.5394,0.4065,0.4259,0.4013
34.60,0.5234,0.5262,0.5294,0.4062,0.4118,0.3999
34.70,0.5252,0.5265,0.5321,0.4079,0.412,0.4014
34.80,0.5249,0.5250,0.5388,0.4107,0.4112,0.4055
34.90,0.5234,0.5303,0.5277,0.4123,0.4108,0.4112
35.00,0.5243,0.5269,0.5332,0.4136,0.4091,0.4147
35.10,0.5240,0.5227,0.5328,0.4137,0.4107,0.4135
35.20,0.5231,0.5265,0.528,0.4115,0.4081,0.4157
35.30,0.5238,0.5230,0.5356,0.4098,0.404,0.4132
35.40,0.5228,0.5238,0.5376,0.4099,0.4013,0.4131
35.50,0.5240,0.5303,0.5357,0.4103,0.4011,0.4074
35.60,0.5233,0.5274,0.5351,0.4109,0.4008,0.403
35.70,0.5244,0.5307,0.533,0.4116,0.4085,0.4024
35.80,0.5276,0.5285,0.536,0.4115,0.4238,0.4015
35.90,0.5241,0.5254,0.5357,0.4113,0.418,0.4013
36.00,0.5245,0.5272,0.535,0.4115,0.4046,0.4362
36.10,0.5258,0.5264,0.5361,0.4117,0.4414,0.4244
36.20,0.5235,0.5252,0.5343,0.4119,0.4687,0.4026
36.30,0.5238,0.5245,0.535,0.409,0.4329,0.4484
36.40,0.5223,0.5236,0.5352,0.4534,0.4581,0.4401
36.50,0.5226,0.5240,0.5357,0.4734,0.4105,0.4256
36.60,0.5237,0.5244,0.5354,0.4109,0.4114,0.4522
36.70,0.5244,0.5240,0.5354,0.476,0.4103,0.4274
36.80,0.5243,0.5237,0.5322,0.4256,0.4124,0.4098
36.90,0.5243,0.5235,0.5338,0.4047,0.41,0.4225
37.00,0.5244,0.5220,0.531,0.4054,0.4104,0.4047
37.10,0.5243,0.5218,0.5308,0.4067,0.4095,0.4036
37.20,0.5243,0.5214,0.5412,0.4075,0.4053,0.4012
37.30,0.5239,0.5263,0.5295,0.407,0.4022,0.401
37.40,0.5245,0.5251,0.5346,0.4076,0.4016,0.401
37.50,0.5272,0.5230,0.539,0.4079,0.4014,0.3996
37.60,0.5240,0.5270,0.5309,0.408,0.4014,0.4024
37.70,0.5239,0.5232,0.5383,0.4068,0.4025,0.4093
37.80,0.5248,0.5236,0.531,0.4061,0.4138,0.4127
37.90,0.5254,0.5288,0.5291,0.4056,0.4143,0.4115
38.00,0.5249,0.5242,0.5379,0.4053,0.4061,0.4125
38.10,0.5231,0.5253,0.5337,0.4101,0.4084,0.4129
38.20,0.5236,0.5309,0.5396,0.4065,0.4113,0.4133
38.30,0.5233,0.5293,0.5365,0.4064,0.4112,0.4104
38.40,0.5299,0.5293,0.5339,0.4064,0.4106,0.4041
38.50,0.5249,0.5289,0.5326,0.4056,0.4106,0.4023
38.60,0.5251,0.5253,0.5318,0.4058,0.4116,0.4021
38.70,0.5233,0.5247,0.5314,0.4056,0.412,0.4009
38.80,0.5237,0.5250,0.5329,0.4102,0.4102,0.4013
38.90,0.5237,0.5248,0.5406,0.4082,0.4105,0.4008
39.00,0.5244,0.5241,0.5431,0.4065,0.4109,0.3996
39.10,0.5233,0.5239,0.5341,0.4083,0.4193,0.4025
39.20,0.5260,0.5246,0.5324,0.4055,0.4298,0.4091
39.30,0.5261,0.5240,0.5312,0.404,0.4152,0.4143
39.40,0.5242,0.5241,0.5312,0.4047,0.4025,0.4558
39.50,0.5250,0.5243,0.5286,0.4051,0.4408,0.4282
39.60,0.5285,0.5239,0.5299,0.4042,0.4434,0.4386
39.70,0.5277,0.5231,0.5279,0.4045,0.4206,0.4385
39.80,0.5282,0.5216,0.5296,0.465,0.4232,0.4356
39.90,0.5273,0.5226,0.5382,0.4612,0.4041,0.4093
40.00,0.5245,0.5266,0.5282,0.4125,0.4061,0.4012
40.10,0.5241,0.5234,0.5317,0.4823,0.4096,0.4161
40.20,0.5243,0.5231,0.5329,0.4184,0.4109,0.4015
40.30,0.5244,0.5264,0.5278,0.4077,0.4113,0.4007
40.40,0.5241,0.5226,0.5356,0.4062,0.4105,0.3995
40.50,0.5238,0.5242,0.5315,0.4058,0.4114,0.4032
