Seconds,Python3.9,Python3.12,Python3.13
74.90,0.4113,,
75.00,0.4121,,
75.10,0.4112,,
75.20,0.412,,
75.30,0.4126,,
75.40,0.4129,,
75.50,0.4134,,
75.60,0.4131,,
75.70,0.4127,,
75.80,0.4112,,
75.90,0.4087,,
